district,latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,ALLSKY_SFC_SW_DWN
Ahmednagar,19.0952,74.7496,1990-01-01,22.7,28.8,16.4,63,0.0,939.2,15.72
Ahmednagar,19.0952,74.7496,1990-01-02,22.2,28.8,15.4,60,0.0,939.0,17.2
Ahmednagar,19.0952,74.7496,1990-01-03,22.3,28.0,17.6,68,3.0,940.3,13.98
Ahmednagar,19.0952,74.7496,1990-01-04,22.8,27.5,18.5,66,0.0,942.2,15.26
Ahmednagar,19.0952,74.7496,1990-01-05,23.2,28.1,17.9,59,0.0,943.2,15.55
Ahmednagar,19.0952,74.7496,1990-01-06,23.5,28.2,18.0,52,0.0,943.3,16.62
Ahmednagar,19.0952,74.7496,1990-01-07,23.8,29.5,17.8,47,0.0,943.0,18.8
Ahmednagar,19.0952,74.7496,1990-01-08,22.9,29.2,15.6,42,0.0,943.3,18.48
Ahmednagar,19.0952,74.7496,1990-01-09,23.3,29.3,16.8,40,0.0,942.8,18.21
Ahmednagar,19.0952,74.7496,1990-01-10,23.6,29.6,16.9,37,0.0,942.1,19.1
Ahmednagar,19.0952,74.7496,1990-01-11,23.1,29.8,15.4,40,0.0,942.4,19.49
Ahmednagar,19.0952,74.7496,1990-01-12,23.0,30.4,15.1,35,0.0,942.0,19.83
Ahmednagar,19.0952,74.7496,1990-01-13,23.6,30.8,17.1,29,0.0,941.1,20.03
Ahmednagar,19.0952,74.7496,1990-01-14,22.9,30.8,14.6,33,0.0,940.0,19.97
Ahmednagar,19.0952,74.7496,1990-01-15,23.2,31.0,15.3,32,0.0,940.9,20.04
Ahmednagar,19.0952,74.7496,1990-01-16,22.9,30.9,15.0,29,0.0,940.8,20.27
Ahmednagar,19.0952,74.7496,1990-01-17,23.0,30.2,15.2,33,0.0,940.0,20.19
Ahmednagar,19.0952,74.7496,1990-01-18,24.1,31.0,17.6,30,0.0,940.9,20.22
Ahmednagar,19.0952,74.7496,1990-01-19,23.5,31.3,14.7,31,0.0,941.6,20.45
Ahmednagar,19.0952,74.7496,1990-01-20,23.3,31.2,14.6,29,0.0,941.6,20.8
Ahmednagar,19.0952,74.7496,1990-01-21,23.2,31.0,14.7,31,0.0,940.5,20.63
Ahmednagar,19.0952,74.7496,1990-01-22,23.5,31.1,15.3,36,0.0,940.7,20.55
Ahmednagar,19.0952,74.7496,1990-01-23,23.8,31.6,16.0,34,0.0,941.7,20.66
Ahmednagar,19.0952,74.7496,1990-01-24,24.6,31.9,18.1,31,0.0,942.1,20.62
Ahmednagar,19.0952,74.7496,1990-01-25,24.3,31.8,15.9,33,0.0,942.2,20.69
Ahmednagar,19.0952,74.7496,1990-01-26,24.5,32.3,16.4,28,0.0,942.1,21.01
Ahmednagar,19.0952,74.7496,1990-01-27,25.0,32.2,16.1,25,0.0,940.9,21.17
Ahmednagar,19.0952,74.7496,1990-01-28,23.8,32.3,15.0,28,0.0,940.1,21.17
Ahmednagar,19.0952,74.7496,1990-01-29,23.8,32.3,14.7,32,0.0,940.7,21.16
Ahmednagar,19.0952,74.7496,1990-01-30,24.8,32.6,17.0,30,0.0,941.5,21.18
Ahmednagar,19.0952,74.7496,1990-01-31,25.5,32.7,17.1,30,0.0,941.7,21.11
Ahmednagar,19.0952,74.7496,1990-02-01,25.0,32.6,17.2,28,0.0,940.8,21.13
Ahmednagar,19.0952,74.7496,1990-02-02,24.0,31.9,15.8,30,0.0,940.6,20.79
Ahmednagar,19.0952,74.7496,1990-02-03,24.9,32.5,17.1,33,0.0,941.8,21.21
Ahmednagar,19.0952,74.7496,1990-02-04,24.8,32.5,16.8,30,0.0,941.1,21.47
Ahmednagar,19.0952,74.7496,1990-02-05,24.8,32.7,16.6,25,0.0,939.9,21.64
Ahmednagar,19.0952,74.7496,1990-02-06,24.8,32.7,15.7,32,0.0,941.0,21.49
Ahmednagar,19.0952,74.7496,1990-02-07,26.2,31.9,19.6,34,0.0,943.1,21.06
Ahmednagar,19.0952,74.7496,1990-02-08,25.5,31.2,20.3,35,0.0,942.4,20.66
Ahmednagar,19.0952,74.7496,1990-02-09,24.9,30.6,18.7,35,0.0,940.8,18.91
Ahmednagar,19.0952,74.7496,1990-02-10,25.5,31.5,19.4,35,0.0,941.2,21.51
Ahmednagar,19.0952,74.7496,1990-02-11,25.0,30.2,19.4,44,0.0,943.1,17.15
Ahmednagar,19.0952,74.7496,1990-02-12,26.0,31.5,20.1,43,0.0,942.3,19.48
Ahmednagar,19.0952,74.7496,1990-02-13,26.6,32.1,20.2,42,0.0,940.9,18.87
Ahmednagar,19.0952,74.7496,1990-02-14,24.9,31.3,18.9,45,0.0,939.4,21.41
Ahmednagar,19.0952,74.7496,1990-02-15,22.9,29.2,16.9,43,0.0,938.5,22.5
Ahmednagar,19.0952,74.7496,1990-02-16,22.8,29.6,15.5,35,0.0,937.8,22.58
Ahmednagar,19.0952,74.7496,1990-02-17,22.5,30.3,14.9,34,0.0,937.8,23.24
