district,latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,ALLSKY_SFC_SW_DWN
Ahmednagar,19.0952,74.7496,2015-01-01,19.5,23.6,16.3,73,1.7,936.2,10.17
Ahmednagar,19.0952,74.7496,2015-01-02,19.6,24.4,15.9,78,0.2,938.6,12.92
Ahmednagar,19.0952,74.7496,2015-01-03,19.4,23.8,15.6,79,0.6,940.5,13.4
Ahmednagar,19.0952,74.7496,2015-01-04,20.1,25.0,16.1,75,0.0,941.5,12.6
Ahmednagar,19.0952,74.7496,2015-01-05,20.1,25.8,14.7,71,0.0,941.4,18.28
Ahmednagar,19.0952,74.7496,2015-01-06,20.7,27.0,14.4,63,0.0,941.1,18.65
Ahmednagar,19.0952,74.7496,2015-01-07,21.0,27.7,13.6,61,0.0,940.2,18.59
Ahmednagar,19.0952,74.7496,2015-01-08,19.9,26.3,13.1,51,0.0,941.1,19.13
Ahmednagar,19.0952,74.7496,2015-01-09,19.2,26.2,12.7,42,0.0,942.3,19.48
Ahmednagar,19.0952,74.7496,2015-01-10,18.9,27.1,11.0,42,0.0,942.4,19.87
Ahmednagar,19.0952,74.7496,2015-01-11,19.3,27.2,11.2,43,0.0,942.3,19.97
Ahmednagar,19.0952,74.7496,2015-01-12,19.3,27.1,11.8,45,0.0,941.9,19.97
Ahmednagar,19.0952,74.7496,2015-01-13,20.0,28.0,11.0,42,0.0,940.6,20.05
Ahmednagar,19.0952,74.7496,2015-01-14,20.8,28.6,12.9,39,0.0,939.6,19.95
Ahmednagar,19.0952,74.7496,2015-01-15,20.1,27.6,12.6,44,0.0,940.0,19.78
Ahmednagar,19.0952,74.7496,2015-01-16,20.5,27.5,13.1,47,0.0,940.9,19.55
Ahmednagar,19.0952,74.7496,2015-01-17,20.5,27.3,13.4,47,0.0,941.3,19.65
Ahmednagar,19.0952,74.7496,2015-01-18,21.0,28.0,13.7,48,0.0,941.1,19.61
Ahmednagar,19.0952,74.7496,2015-01-19,21.8,28.9,14.1,48,0.0,940.1,19.24
Ahmednagar,19.0952,74.7496,2015-01-20,21.8,28.3,15.5,52,0.0,941.1,18.38
Ahmednagar,19.0952,74.7496,2015-01-21,22.1,28.6,15.3,52,0.0,942.8,16.1
Ahmednagar,19.0952,74.7496,2015-01-22,22.4,27.7,17.4,53,0.0,942.9,14.38
Ahmednagar,19.0952,74.7496,2015-01-23,22.2,27.5,17.4,60,0.0,941.4,14.08
