date,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR,PS,ALLSKY_SFC_SW_DWN
1990-01-01,20.48,29.05,14.51,54.17,2.78,0.01,94.12,17.0
1990-01-02,19.41,28.44,12.66,56.17,2.9,0.01,94.08,17.69
1990-01-03,20.9,28.91,13.08,59.03,2.69,0.0,94.14,17.86
1990-01-04,22.54,28.64,17.78,68.99,2.69,0.0,94.33,16.87
1990-01-05,23.25,29.61,18.33,62.56,2.3,0.0,94.43,17.48
1990-01-06,22.09,29.83,15.27,53.83,2.71,0.0,94.44,17.88
1990-01-07,21.21,29.85,14.17,49.43,3.69,0.0,94.41,16.88
1990-01-08,21.16,29.61,13.88,46.2,3.78,0.0,94.43,17.73
1990-01-09,22.45,30.09,15.08,55.2,2.7,0.0,94.34,16.73
1990-01-10,22.38,30.88,16.06,51.88,2.97,0.0,94.3,17.41
1990-01-11,21.27,30.37,13.86,42.87,3.12,0.0,94.34,18.08
1990-01-12,20.76,31.17,12.94,33.05,4.19,0.0,94.31,20.2
1990-01-13,20.95,31.39,12.24,37.22,2.61,0.0,94.23,18.64
1990-01-14,20.76,31.45,12.71,38.43,2.52,0.0,94.13,19.6
1990-01-15,20.31,31.21,11.96,38.81,2.97,0.0,94.25,20.27
1990-01-16,20.91,31.83,12.05,35.85,3.11,0.0,94.22,17.9
1990-01-17,21.42,31.35,12.55,32.91,2.93,0.0,94.11,17.33
1990-01-18,21.41,31.81,11.52,31.89,2.56,0.0,94.19,18.39
1990-01-19,21.07,32.12,11.82,28.51,3.72,0.0,94.27,18.67
1990-01-20,20.83,31.98,11.88,24.4,4.1,0.0,94.26,20.42
1990-01-21,21.4,32.13,12.35,28.48,3.38,0.0,94.17,20.04
1990-01-22,21.62,32.44,13.41,30.5,4.23,0.0,94.17,19.41
1990-01-23,22.34,32.73,14.29,28.58,4.27,0.0,94.29,20.34
1990-01-24,22.04,32.84,13.11,31.38,3.88,0.0,94.3,20.63
1990-01-25,23.32,33.31,14.13,27.88,3.44,0.0,94.32,18.68
1990-01-26,22.98,33.59,13.49,27.86,2.76,0.0,94.33,19.08
1990-01-27,22.94,33.28,15.39,31.37,2.5,0.0,94.26,18.67
1990-01-28,22.53,33.22,14.93,32.79,2.59,0.0,94.19,19.11
1990-01-29,22.55,33.77,12.94,31.88,2.65,0.0,94.22,20.18
1990-01-30,23.04,33.94,13.89,31.5,2.72,0.0,94.28,21.27
1990-01-31,23.0,33.87,14.16,30.94,2.82,0.0,94.28,20.16
1990-02-01,22.41,32.78,14.58,30.31,3.32,0.0,94.2,21.65
1990-02-02,21.7,32.04,13.48,35.03,2.58,0.0,94.22,21.05
1990-02-03,22.75,33.61,13.45,30.07,2.68,0.0,94.32,20.61
1990-02-04,22.45,33.64,13.64,26.69,3.01,0.0,94.28,19.93
1990-02-05,22.87,34.1,14.45,26.45,2.74,0.0,94.16,19.44
1990-02-06,23.39,33.95,13.6,24.53,3.77,0.0,94.23,19.89
1990-02-07,24.08,33.31,14.99,30.62,3.43,0.0,94.36,19.9
1990-02-08,23.95,32.87,15.26,35.71,2.37,0.0,94.31,20.0
1990-02-09,24.5,32.64,16.62,36.56,1.64,0.0,94.15,19.78
1990-02-10,24.9,33.96,16.65,40.59,3.19,0.0,94.17,21.1
1990-02-11,26.16,33.94,19.01,40.53,3.59,0.0,94.31,21.86
1990-02-12,24.92,34.14,16.9,42.93,3.26,0.0,94.3,21.55
1990-02-13,24.77,33.41,18.84,48.81,3.13,0.0,94.23,21.26
1990-02-14,23.49,32.96,17.22,49.62,3.24,0.0,94.11,21.25
1990-02-15,21.3,31.19,14.15,55.41,3.69,0.0,94.06,21.65
1990-02-16,20.66,31.19,12.8,40.19,3.44,0.0,93.99,21.35
1990-02-17,20.67,30.45,13.89,51.16,3.35,0.0,94.01,21.23
1990-02-18,20.25,28.55,13.58,63.6,4.09,0.0,93.99,19.96
1990-02-19,18.61,29.24,10.22,39.56,3.45,0.0,94.02,21.82
1990-02-20,18.72,29.03,10.87,44.33,3.39,0.0,94.02,22.12
1990-02-21,19.59,30.02,11.7,42.62,3.35,0.0,93.98,22.39
1990-02-22,20.32,30.94,12.22,38.82,3.37,0.0,93.91,22.49
1990-02-23,21.03,31.98,12.21,44.36,3.35,0.0,93.8,21.29
1990-02-24,20.65,30.67,12.08,56.26,3.62,0.0,93.86,21.84
1990-02-25,21.4,31.62,14.06,59.39,3.85,0.0,93.96,22.07
1990-02-26,22.23,32.76,13.75,56.85,3.64,0.0,93.94,21.88
1990-02-27,22.73,32.24,15.99,50.52,3.73,0.0,93.91,21.66
1990-02-28,22.91,30.88,17.11,73.03,4.71,0.53,94.07,18.12
1990-03-01,21.63,30.31,15.17,63.18,3.98,0.06,94.15,22.45
1990-03-02,20.04,30.9,12.12,38.37,3.62,0.6,93.88,23.63
1990-03-03,20.17,30.73,12.75,41.19,3.09,0.0,93.83,22.76
1990-03-04,19.65,28.7,12.55,58.57,3.62,0.0,93.91,22.57
1990-03-05,19.68,28.53,13.25,64.62,3.8,0.0,93.94,22.16
1990-03-06,21.06,31.4,12.72,55.34,3.49,0.0,94.07,21.83
1990-03-07,22.21,32.58,15.21,48.98,2.95,0.0,94.28,22.27
1990-03-08,21.8,32.48,13.7,50.2,2.97,0.0,94.28,23.01
1990-03-09,23.15,34.35,14.12,49.2,2.55,0.0,94.18,24.64
1990-03-10,23.68,35.84,14.48,43.41,3.64,0.0,94.15,24.62
1990-03-11,22.57,31.68,16.47,61.53,3.93,0.0,94.31,23.56
1990-03-12,22.86,34.3,14.93,60.29,2.92,0.0,94.21,24.15
1990-03-13,24.58,36.33,14.88,55.94,2.67,0.0,94.13,23.46
1990-03-14,25.44,36.73,16.12,52.35,2.63,0.0,94.2,23.27
1990-03-15,25.53,36.44,16.12,50.14,2.54,0.0,94.24,23.07
1990-03-16,26.74,37.2,17.39,32.58,2.71,0.0,94.14,23.37
1990-03-17,27.28,37.95,17.57,21.42,3.0,0.0,94.15,22.87
1990-03-18,28.19,37.42,19.12,32.21,2.27,0.0,94.18,19.35
1990-03-19,29.22,37.7,21.8,31.92,1.62,0.0,94.13,21.84
1990-03-20,29.14,37.28,22.89,31.19,2.5,0.0,94.05,22.92
1990-03-21,29.13,38.66,22.01,30.18,2.7,0.0,93.95,23.49
1990-03-22,27.64,37.02,20.48,34.6,3.75,0.0,94.01,24.34
