date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,ALLSKY_SFC_SW_DWN
1990-01-01,23.2,30.4,18.2,57,0.0,951.9,18.3
1990-01-02,22.5,29.9,17.1,54,0.0,951.5,18.76
1990-01-03,23.0,29.8,16.0,58,0.0,952.5,17.61
1990-01-04,23.5,29.6,18.0,61,0.2,954.4,15.74
1990-01-05,23.9,29.5,18.1,54,0.0,955.4,15.96
1990-01-06,23.2,29.4,16.7,54,0.0,955.5,17.28
1990-01-07,23.2,30.0,16.1,46,0.0,955.1,19.11
1990-01-08,22.5,29.5,15.4,43,0.0,955.5,18.73
1990-01-09,23.1,29.4,16.2,46,0.0,954.9,16.07
1990-01-10,23.8,30.1,17.3,42,0.0,954.5,19.11
1990-01-11,23.4,30.2,17.4,45,0.0,954.8,19.59
1990-01-12,23.1,30.5,16.7,36,0.0,954.5,20.04
1990-01-13,23.5,30.8,17.9,31,0.0,953.7,20.15
1990-01-14,23.4,31.2,17.0,37,0.0,952.8,20.1
1990-01-15,23.7,31.2,18.5,33,0.0,953.6,20.24
1990-01-16,23.6,31.2,18.0,28,0.0,953.2,20.46
1990-01-17,23.2,30.5,16.6,34,0.0,952.5,20.37
1990-01-18,23.7,31.2,18.1,36,0.0,953.3,20.4
1990-01-19,24.0,31.6,18.5,35,0.0,954.1,20.62
1990-01-20,24.3,31.5,18.1,26,0.0,954.2,20.97
1990-01-21,24.2,31.2,19.0,26,0.0,953.1,20.98
1990-01-22,23.9,31.3,18.2,34,0.0,953.1,20.79
1990-01-23,23.6,31.0,16.9,38,0.0,954.2,20.78
1990-01-24,24.3,31.3,19.0,35,0.0,954.5,20.85
1990-01-25,24.6,31.3,18.9,34,0.0,954.8,20.91
1990-01-26,24.4,31.8,18.2,33,0.0,954.8,21.06
1990-01-27,24.2,32.3,18.0,34,0.0,953.3,21.27
1990-01-28,23.9,32.1,16.6,35,0.0,952.8,21.32
1990-01-29,24.4,32.3,18.3,34,0.0,953.2,21.37
1990-01-30,25.2,32.9,19.4,33,0.0,954.0,21.36
1990-01-31,25.3,32.9,18.9,36,0.0,954.3,21.29
1990-02-01,24.8,32.9,19.2,35,0.0,953.4,21.34
1990-02-02,24.3,32.0,18.7,31,0.0,953.2,21.32
1990-02-03,25.1,32.7,19.5,33,0.0,954.4,21.51
1990-02-04,25.0,32.5,19.0,34,0.0,953.8,21.73
1990-02-05,24.8,32.6,18.6,32,0.0,952.4,21.83
1990-02-06,25.3,32.9,17.3,35,0.0,953.3,21.52
1990-02-07,25.7,32.3,17.6,38,0.0,955.2,21.31
1990-02-08,25.2,31.7,17.3,38,0.0,954.6,21.2
1990-02-09,24.3,31.2,17.2,43,0.0,952.9,19.12
1990-02-10,25.3,32.1,18.2,37,0.0,953.2,21.66
1990-02-11,25.0,30.8,18.7,48,0.0,955.1,18.36
1990-02-12,26.0,32.3,19.0,47,0.0,954.8,19.26
